chemical reactions and their applications,4,S,"9-12, noK12",,,,2,,,,,,8,,,,,,,,,
english literacy,4,STEAM+,"K-3, 4-6",,,,,,4,,6,,,,10,,,,,15,,
astronomy,4,STEAM,"9-12, noK12",,,,2,,,,,,8,,,,,13,,,,
project work,4,TEM+,"7-8, 9-12",,,,,,,,,,,,,,,,,,,
activities,4,STAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
chemical names,4,SE,12-Sep,,,,2,,,,,,8,,,,,,,,,
chemical systems and equilibrium,4,SE,12-Sep,,,,2,,,,,,8,,,,,,,,,
speaking,4,A+,"4-6, 7-8, 9-12",,,,,,4,,6,,,,10,,,,,15,,
listening skills,4,A+,"4-6, 7-8, 9-12",,,,,,,,,,,,10,,,,,15,,
interactive,4,STAM+,12-Sep,,,,,,,,,,,,,,,,,,,
chemical bonding,4,SE,12-Sep,,,,2,,,,,,8,,,,,,,,,
efl,4,A+,"4-6, 7-8, 9-12, noK12",,,,,,,,6,,,,,,,,,,,
word problems,4,STAM+,"4-6, 7-8, 9-12",,,,,,,,,7,,,,,12,,,,,
electrical circuits,4,STE,12-Sep,,,,2,,,,,,8,,,,,,,,,
dentistry,4,S+,noK12,,,,2,,,,,,,,,,,,,,,
social studies,4,STEAM+,"K-3, 4-6",,,,,,4,,,,,,10,,,,,15,,
creativity,3,T+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,,,,,,,,,,,,,,
ecosystems,3,S,"7-8, 9-12",,,,2,,,,,,8,,,,,13,,,,
trigonometry,3,SM,"K-3, 4-6, 7-8, 9-12",,,1,,,,,,7,,,,,,,,,,
leadeship,3,STE+,noK12,,,,,,,,,,,,,,,,,,,
waves and sound,3,STM,12-Sep,,,,2,,,,,,8,,,,,,,,,
ipads,3,STAM+,"K-3, 4-6, 7-8",,,,,,,,,,,,,,,,,,,
immunology,3,ST,noK12,,,,2,,,,,,8,,,,,,,,,
organic chemistry,3,SM,12-Sep,,,,2,,,,,,,,,,,,,,,
smartboard,3,STAM+,"K-3, 9-12",,,,,,,,,,,,,,,,,,,
cells,3,SE,"7-8, 9-12",,,,2,,,,,,8,,,,,13,,,,
behaviour,3,SAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
private school,3,STEAM+,"K-3, 4-6",,,,,,,,,,,,,,,,,,,
cellular biology,3,S,12-Sep,,,,2,,,,,,8,,,,,,,,,
life skills,3,STAM+,"K-3, 9-12",,,,,,,,,,,,,,,,,,,
probability,3,SM,"7-8, 9-12, 1-3",,,2,,,,,,7,,,,,12,,,,,
preschool,3,STAM+,K-3,,,,,,,,,,,,,,,,,,,
sound,3,STA,12-Sep,,,,2,,,,,,8,,,,,13,,,,
periodic table,3,SM,12-Sep,,,,2,,,,,,,,,,,,,,,
creative teaching,3,SA+,noK12,,,,,,,,,,,,,,,,,,,
comprehension,3,A+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
sustainability,3,STA+,12-Sep,,,,2,,,,,,8,,,,,13,,,,
electrical machines,3,STE,12-Sep,,,,,,,,,,8,,,,,13,,,,
light,3,STM,12-Sep,,,,2,,,,,,8,,,,,,,,,
metacognition,3,STEAM+,"K-3, 4-6, 9-12",,,,,,,,,,,,,,,,,,,
social science,3,SAM+,"7-8, 9-12, noK12",,,,,,,,,,,,,,,,,,,
class management,3,SAM+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
business english,3,+,noK12,,,,,,,,,,,,,,,,,,,
vectors,3,STEM,12-Sep,,,1,,,,,,7,,,,,,,,,,
number recognition,3,STM+,K-3,,,,,,,,,7,,,,,12,,,,,
problem solving,3,SM,"7-8, 9-12",,,,2,,,,,,8,,,,12,,,,,
interactive whiteboard,3,STEAM+,"K-3, 4-6, noK12",,,,,,,,,,,,,,,,,,,
teaching with technology,3,S,12-Sep,,,,,,,,,,,,,,,,,,,
scratch,3,TM,"K-3, 9-12",,,,,,,5,,,,,,11,,,,,16,
geography,3,STM+,"9-12, noK12",,,,,,,,,,,,,,,,,,,
electricity and magnetism,3,STM,12-Sep,,,,2,,,,,,8,,,,,,,,,
energy,3,ST,"4-6, 7-8, 9-12, noK12, 1-3",,,,2,,,,,,8,,,,,,,,,
human organ systems,3,STEAM,"K-3, 4-6, 7-8, 9-12",,,,2,,,,,,8,,,,,,,,,
primary,3,STAM+,"4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
optics,3,SEM,12-Sep,,,,2,,,,,,8,,,,,,,,,
song,3,SAM+,"K-3, 4-6, 7-8, 9-12",,,,,3,,,,,,8,,,,,13,,,
biodiversity,3,S,"4-6, 7-8, 9-12",,,,2,,,,,,8,,,,,13,,,,
teamwork,3,SE,12-Sep,,,,,,,,,,,,,,,,,,,
languages,3,SA+,"7-8, 9-12",,,,,,,,6,,,,,,,,,,,
writing workshop,3,STAM+,"K-3, 4-6, 7-8, 9-12",,,,,,4,,,,,,10,,,,,,,
creative writing,3,SAM+,"K-3, 4-6, 9-12",,,,,,4,,,,,,10,,,,,,,
health,3,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,,,,,,,,,,,,,,
graduate students,3,S+,noK12,,,,,,,,,,,,,,,,,,,
steam,3,STEAM+,"K-3, 4-6, 7-8, 9-12, noK12",,,,,,,,,,,,,,,,,,,
mechanics,3,STEM,"4-6, 7-8, 9-12",,,,2,,,,,,,,,,,,,,,
fractions,3,STEAM+,"K-3, 4-6, 7-8, 9-12, 1-3",,,,,,,,,8,,,,,12,,,,,
elementary reading,3,STEA+,noK12,,,,,,,,,,,,,,,,,15,,
lab,3,SM,12-Sep,,,,,,,,,,,,,,,,,,,
practical,3,T+,noK12,,,,,,,,,,,,,,,,,,,
computing,3,STEM+,noK12,,,,,,,5,,,,,,11,,,,,16,
multiple intelligent,2,+,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
information literacy,2,TA+,"K-3, 4-6, 7-8, 9-12",,,,,,,5,,,,,,11,,,,,16,
electrochemistry,2,SM,12-Sep,,,,2,,,,,,,,,,,,,,,
comunication,2,T+,noK12,,,,,,,,,,,,,,,,,,,
learning,2,T+,noK12,,,,,,,,,,,,,,,,,,,
math tec sci,2,STEAM+,noK12,,,,,,,,,,,,,,,,,,,
computers,2,STEAM,"K-3, 4-6, 7-8, 9-12",,,,,,,5,,,,,,11,,,,,16,
physical science,2,ST+,"K-3, 4-6, 7-8, 9-12, noK12",,,,2,,,,,,8,,,,,,,,,
adults,2,+,"9-12, noK12",,,,,,,,,,,,,,,,,,,
special needs,2,STEM+,"7-8, 9-12",,,,,,,,,,,,,,,,,,,
postgraduate students,2,STE+,noK12,,,,,,,,,,,,,,,,,,,
microbiology,2,S,"7-8, 9-12",,,,2,,,,,,,,,,,,,,,
weather,2,SM+,K-3,,,,2,,,,,,8,,,,,13,,,,
public health,2,S+,noK12,,,,,,,,,,,,,,,,,,,
technology professional development,2,TM,noK12,,,,,,,,,,,,,,,,,,,
science teaching,2,STM+,noK12,,,,,,,,,,,,,,,,,,,
